timecode,text
00:00:00,"Já começou? Calma, deixa eu ver. Já tá online já. Boa noite, Brasília, dezenove e cinquenta e cinco, hoje são vinte e oito de setembro, estamos aqui, né? Num canto em Brasília, fazendo a live."
00:00:19,"Porque o meu querido Alexandre Moraes falou que eu não posso fazer no Alvorada porque tem gasto, né? Agora que qualquer lugar que eu vá tem no mínimo aí 30 seguranças, no mínimo. Isso aí é funcional. Se eu quiser por exemplo tomar um caldo de cana na aqui na Ceilândia, aliás pra Ceilândia."
00:00:38,"Eu não posso ir no meu carro particular, porque não tenho, não posso pegar Uber, sou obrigado a pegar um carro oficial e aí no mínimo meia dúzia, carro, ambulância, segurança. Então, infelizmente tem despesa, tá? E tô fazendo uma logicamente, não é no Palácio da Alvorada, eu fico até constrangido de falar isso aqui."
00:00:56,"Eu fico fico constrangido em falar isso aí, tá? Peço a Deus uma reeleição pra gente botar esse Brasil nos eixos realmente, tá? Mas vamos lá, estamos hoje é quarta-feira, temos aí poucos dias até as eleições, hoje a gente pode pedir voto a vontade, amanhã também pode pedir voto a vontade, tá?"
00:01:16,"E daí sexta e sábado você pode você pode pedir voto? Eu não posso, não posso vim no carro de som, é lei e leia pra ser respeitada, cumprida, mas mesmo assim eu vou deixar bem claro, amanhã o meu dia vai tá reservado para"
00:01:34,"O debate à noite da Globo depois de amanhã a gente vai pra Minas não é isso? Poços de Caldas. Poços de Caldas. Eh no sábado tá previsto pela manhã em São Paulo Tarcísio, temos um tá sendo organizado lá um time convidar o pessoal dar um passeio de moto."
00:01:53,"Tá? Não vai poder no sábado ter comício quando terminar vou lá perto da mão do pessoal não vou poder fazer comício e no final da tarde estarei em Joinville lá com Jorginho Melo candidato ao governo do estado de Santa Catarina e também o Jorge Safe candidato aí ao senado"
00:02:11,"Por Santa Catarina. Faltou anunciar aqui o Neemias o nosso intérprete de libras que voluntariamente está aqui. Deixar bem claro. E o Tarcísio é conhecido o capitão Tarcísio. Formado pela nossa Academia Militar Brasileira e depois fez o IME. Depois concursou"
00:02:30,"Fez concurso pra câmara, ficou na comissão de três anos, depois foi trabalhar no DNIT, né? E depois veio conosco aqui e passou a ser uma pessoa conhecida, né? É conhecida pela sua capacidade de gerir, né?"
00:02:47,"De fazer acontecer. Coisa que eh não é fácil porque quando você está numa empresa privada você pode impor a sua vontade numa boa. Aqui no governo às vezes você quer impor você tem certos impedimentos. Tem um aparelhamento no estado. Mas ele conseguiu fazer um bom trabalho. Eh"
00:03:06,"Terminou muitas obras, fez parceria com o Exército Brasileiro, muitas obras feitas com o Exército, como lá nós temos a cento e dezesseis na região de Pelotas, como a BR-163, estaremos cinquenta quilômetros que a cinquenta anos faltava concluir."
00:03:21,"E numa época de de de seca né? De falta de falta de quando chove quando chove naturalmente na região ele conseguiu subir esse momento aí. Vamos me atender muito trabalho"
00:03:33,"Olha, foi muito planejamento que a gente teve que pegar o exército, produzir muito material na época da chuva, que é a época que não se consegue trabalhar na rodovia, pra que naquele período pequeno que a gente investe de janela de sol, a gente pudesse trabalhar e concluir."
00:03:47,"Foi esse o erro que todo mundo cometeu. Ninguém se planejou pra naquele naquela janela pequenininha fazer a obra andar e foi aí que a gente acertou, acertamos com o exército, fizemos realmente um bom trabalho e aquelas filas de caminhão que a gente se acostumou a ver pra escoar a carga lá pelo norte, elas desapareceram, nunca mais teve. Consequência o frete"
00:04:06,"Leva remédio , água de chuva uma semana buscar o mês passado. Uma semana. Tem cinquenta quilômetros, agora é uma hora, menos de uma hora. E assim foi no Brasil todo a ponte do Glabunã, tá?"
00:04:19,"Eh a questão de portos, aeroportos, tá? Lá a obra, por exemplo, da extensão do aeroporto de Foz do Iguaçu, o dinheiro é da Itaipu Binacional, mas tem sempre a parceria nossa."
00:04:37,"A segunda ponte que o Paraguai está pronta, falta só marcar data aí pra inaugurá-la e está faltando também os os rabichos de cada cada lado da ponte mas está pronto a ponte também a terceira ponte lá de Porto Murtinho pra Carmelo Peralta no Paraguai já começou a ser feita, a nossa bioceânica vai passar por ali."
00:04:55,"Então obras aqui fizemos não se tem divulgação né? Por parte da grande mídia uma totalidade quase não não divulga é só pancada o tempo todo mas um governo que trabalhou muito em três anos e oito meses. Na verdade vamos passar pra dois anos que que quase o outro dois anos foi pandemia."
00:05:13,"E vamos lá. Vai ter pessoal, desculpa aqui gratuito, é rápido, a gente vai pegar por região. Aqui vou pegar aqui a a região sul, né? Paraná, eu peço o apoio todo especial ao pessoal, nosso candidato aí ao Paulo Martins, candidato ao Senado. Acho que dispensa comentários, um cara afinado com a gente."
00:05:33,"Tá? Tem o apoio do governador Ratinho Júnior também para o senado. Tem gente ali que tem três, quatro por cento de voto de título. Apela que ele desista pra porque vai pode fazer falta pro lado de cá. E nós sabemos tem dois caras lá na frente. Mas o Paulo está perto já tem tudo pra ultrapassar. Vote com razão no Paraná"
00:05:52,"Fórum Martins pro Senado lá no Rio Grande do Sul o nosso vice-presidente geral Hamilton Mourão está um pouquinho e nós não acreditamos em pesquisa né? Mas a partir do princípio que tem pesquisa lá está um pouco na frente agora vamos consolidar pessoal vamos garantir uma vaga realmente uma pessoa que"
00:06:10,"Vai estar afinado conosco aqui no no Senado Federal. Santa Catarina, temos aqui o Jorginho Melo, candidato ao governo do estado. Ele foi o que o o autor do bem. Do PRONAMP, né?"
00:06:24,"É que salvou milhões de emprego pelo Brasil. Então o Jorginho Melo internacional ao governo do estado de Santa Catarina vinte e dois. E o nosso prezado Jorge Seis que eu já adotei. Então o velho seco perdeu. O Jorge sempre adotei já."
00:06:38,"É conhecido como tilápia também, uma pessoa fantástica no na secretaria. Secretário da pesca em todos os dias. É inacreditável realmente que foi feito, tá? Repito sempre aqui, né? Tá negociando com o parlamento paraguaio, nós praticarmos a piscicultura no lago de Itaipu. Vamos aumentar em quarenta por cento a produção de pescado no Brasil."
00:06:57,"Desde que o Senado Paraguai autorize acho que vai autorizar. Mas fora isso o que ele tapou de de ralo que tinha na na secretaria da pesca era um cabo de mim. Então o Jorge Safe candidato ao Senado dois dois dois. Aí guerreiro. Vamos lá."
